Id,Type,Message,Feedback
22b7ea93-3573-4c73-ab7c-c7744693dcc6,Answer,"The official maximum electric range for the Volkswagen ID models according to WLTP criteria is approximately as follows: 

- **ID.3**: Up to 436 miles 
- **ID.4**: Up to 522 miles 
- **ID.5**: Up to 513 miles 
- **ID.7**: Up to 436 miles 
- **ID.7 Tourer**: Specific range details for the ID.7 Tourer are not provided here.

It's important to note that actual range can vary based on factors such as driving style, load, and weather conditions. For more detailed information on range, please visit https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
ac91f8c5-90e8-46d7-b654-5c06bd9444b1,Question,"Service plan",n/a
ac91f8c5-90e8-46d7-b654-5c06bd9444b1,Answer,"For information about service plans for your Volkswagen vehicle, you can visit our dedicated page at https://service-plans.vwfs.co.uk/vw/the-plans. Here, you will find details on available service plans to help keep your vehicle running smoothly. If you have any specific questions, feel free to reach out to a VW support member at https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
6f8e2504-38e7-4f2f-8539-dfecaa3bb516,Question,"What's the miles of range for each of the ID. models?",n/a
6f8e2504-38e7-4f2f-8539-dfecaa3bb516,Answer,"The official maximum electric range for each ID model is as follows: the ID.3 can achieve up to 436 miles, and the ID.7 has a range of up to 600 miles depending on the specific trim. Please note that these figures are based on standardised testing conditions and actual driving range may vary due to factors such as weather, driving style, and vehicle load. For more detailed information, you can visit the Volkswagen range page at https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Question,"How many charge points in the uk",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Answer,"As of July 2024, there are 66,779 charging points across 34,570 locations in the UK. This marks a significant increase in the number of public charging devices.",Great stat
3e8710b2-82f5-4409-856d-a6384c23dbfa,Question,"How fast are they ",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Answer,"Many charging stations across the UK offer super-fast DC charging, typically at 150kW or higher, which allows you to recharge your ID. battery to about 80% in approximately 30 minutes.",Helpful
3e8710b2-82f5-4409-856d-a6384c23dbfa,Question,"What screen size I get in id3",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Answer,"The Volkswagen ID.3 features a touchscreen display with a size of 10 inches, providing an intuitive interface for controlling various functions and accessing information while driving.",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Question,"Does it come with hud ",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Answer,"The Volkswagen ID.3 does not come standard with a head-up display (HUD). However, depending on the trim level, a variant of a digital cockpit display may be available, but for the augmented reality head-up display, you would need to consider other models in the ID range, such as the ID.7 or ID.5.",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Question,"What pack does the hud come in",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Answer,"The augmented reality head-up display (HUD) is available as standard on the ID.7 and ID.5 in the GTX trim and is offered as an optional feature in the Style and other higher trim levels. For the ID.3, a head-up display is not available.",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Question,"What’s the pack name ",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Answer,"In the ID.5, the augmented reality head-up display (HUD) is included in the ""Tech"" and ""Max"" trim levels as standard, and it is available as an optional feature in the ""Style"" trim. For the ID.7, it is available in the ""Max"" trim.",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Question,"Will the cars set on fire ",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Answer,"While any vehicle, including electric vehicles like the ID. range, can experience a fire under certain circumstances, the risk is generally very low. Volkswagen employs rigorous safety standards and extensive testing to ensure the safety of its electric vehicles, including advanced battery management systems and fire prevention measures. In the rare event of a fire, the vehicles are designed to manage thermal events safely. If you have specific safety concerns regarding electric vehicles, please feel free to ask.",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Question,"What will my car be worth in 5 years ",n/a
3e8710b2-82f5-4409-856d-a6384c23dbfa,Answer,"I cannot provide specific valuations for vehicles as they can vary based on numerous factors such as mileage, condition, market demand, and any changes in technology or market trends. For accurate assessments and to discuss potential future values, it's best to consult a Volkswagen retailer or refer to vehicle valuation experts.",n/a
463bcf51-1351-463d-9b53-ef90e663b47c,Question,"Where can I charge a Volkswagen ID.? And how much does it cost?",n/a
463bcf51-1351-463d-9b53-ef90e663b47c,Answer,"You can charge your Volkswagen ID at various public charging stations throughout the UK, which can be conveniently located using the We Connect ID. app. This app allows you to find available charging stations nearby and plan routes with automatic charging stop recommendations. Regarding costs, I cannot provide specific pricing details; however, you can check for up-to-date information by visiting https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/charging/running-costs.html.",n/a
463bcf51-1351-463d-9b53-ef90e663b47c,Question,"Jayvik Patel ",n/a
463bcf51-1351-463d-9b53-ef90e663b47c,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
463bcf51-1351-463d-9b53-ef90e663b47c,Question,"How much fuel can I save with ev",n/a
463bcf51-1351-463d-9b53-ef90e663b47c,Answer,"Electric vehicles (EVs) can provide significant savings compared to petrol or diesel cars, as they generally have lower running costs. While the exact savings depend on several factors, such as your driving habits and charging costs, EVs can be cheaper to charge than refuelling traditional vehicles. Additionally, tax benefits and reduced servicing requirements can further enhance savings. For a more detailed overview of running costs, please visit https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/charging/running-costs.html.",n/a
463bcf51-1351-463d-9b53-ef90e663b47c,Question,"Pence per mile calculator ",n/a
463bcf51-1351-463d-9b53-ef90e663b47c,Answer,"For estimating pence per mile costs for electric vehicles, you can refer to the official Volkswagen resources, which provide calculations based on consumption, charging rates, and other factors. However, specific calculators are not available in this context. For a general estimation based on the ID.3, costs can be around 2 pence per mile under optimal conditions with the appropriate smart charger. For more precise figures tailored to your situation, I recommend visiting https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/charging/running-costs.html.",n/a
c6bd02df-3d77-4b9c-b87f-87a90f3deef5,Question,"Can you still buy a first edition id3",n/a
c6bd02df-3d77-4b9c-b87f-87a90f3deef5,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
c6bd02df-3d77-4b9c-b87f-87a90f3deef5,Question,"How many extra miles can you gain using the b selection on ",n/a
c6bd02df-3d77-4b9c-b87f-87a90f3deef5,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
b3d5aabd-44e7-4d81-a082-86922ffddb6e,Question,"When was the first iD3 launched ",n/a
b3d5aabd-44e7-4d81-a082-86922ffddb6e,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
118b3cd0-4f2a-4af3-8058-e7c0139c0cb6,Question,"How many stops would I have to make to charge while driving from Bristol to Edinburgh in a 59kwh ID.3 match?",n/a
118b3cd0-4f2a-4af3-8058-e7c0139c0cb6,Answer,"The ID.3 with a 59kWh battery has an official maximum range of up to 268 miles on a full charge. The distance from Bristol to Edinburgh is approximately 400 miles, so you would likely need to make at least one stop to charge during your journey. However, actual range can vary based on driving conditions, load, and other factors. To ensure a smooth trip, it's advisable to plan ahead and locate charging points along your route. You can find more information about range and charging options at https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
671526bb-fd57-4714-b56e-7af9a148a019,Question,"I want a fast electric car, which should I choose? ",n/a
671526bb-fd57-4714-b56e-7af9a148a019,Answer,"For a fast electric car, you might want to consider the ID.5 GTX, which features a dual-motor all-wheel drive system, offering impressive performance. Another option is the ID.4, which also delivers a thrilling driving experience. Both models benefit from Volkswagen's advanced electric vehicle technology and offer a blend of speed, comfort, and practicality. If you'd like to experience their performance firsthand, I encourage you to arrange a test drive. You can do so by visiting https://www.volkswagen.co.uk/agent/testdrive/carline/30297 for the ID.5 GTX or https://www.volkswagen.co.uk/agent/testdrive/carline/30290 for the ID.4.",n/a
671526bb-fd57-4714-b56e-7af9a148a019,Question,"What is the horse power of the id.5 gtx",n/a
671526bb-fd57-4714-b56e-7af9a148a019,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
671526bb-fd57-4714-b56e-7af9a148a019,Question,"How long will it take to charge the ID5 GTX at home with a 7kw wallbox? ",n/a
671526bb-fd57-4714-b56e-7af9a148a019,Answer,"The charging time for the ID.5 GTX using a 7 kW wallbox can vary based on the battery level and specific usage conditions, but generally, it can take around 7 to 8 hours to fully charge from empty. For the most accurate information specific to your charging situation, I recommend checking with the official charging and range details at https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
671526bb-fd57-4714-b56e-7af9a148a019,Question,"How many public chargers are available in the uk? ",n/a
671526bb-fd57-4714-b56e-7af9a148a019,Answer,"As of July 2024, there are 66,779 public charging points across 34,570 locations in the UK. This reflects a significant increase in the number of available charging devices, making it easier for electric vehicle users to charge on the go.",n/a
d014f431-2590-4bbc-be9a-d14caccf8f00,Question,"What colour can I get the ID.4 in? ",n/a
d014f431-2590-4bbc-be9a-d14caccf8f00,Answer,"The ID.4 offers a variety of colour options to choose from, including vibrant choices that can complement its sporty design. One notable option is the ""King’s Red,"" which pairs well with its black roof and other features. For a full list of available colours, I recommend visiting the Volkswagen UK website or contacting your local retailer for the latest options.",n/a
8e40efd0-b2d7-4477-b2d3-8347f107d7d0,Question,"What is the maximum driving range I can do in an Id.3?",n/a
8e40efd0-b2d7-4477-b2d3-8347f107d7d0,Answer,"The maximum electric range for the Volkswagen ID.3 can reach up to 369 miles on a full charge, although this may vary depending on factors such as load, driving style, and weather conditions. For more detailed information, you can visit the official Volkswagen site on range at https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
dad40d94-5bfc-476b-a089-33db791e02be,Question,"I drive 75 miles per day and want a small electric car, what should I look for? ",n/a
dad40d94-5bfc-476b-a089-33db791e02be,Answer,"When considering a small electric car for a daily drive of 75 miles, you should look for a model with a sufficient range to accommodate your needs. The official maximum range of the vehicle is important, but remember that actual range can be affected by factors such as load, temperature, and driving conditions. Additionally, consider features like battery size, charging options, and available technology that enhance driving convenience. The Volkswagen ID.3 is an excellent option in the small electric car segment, offering great efficiency and advanced features. For more detailed information on specific models, feel free to explore the Volkswagen website or visit a retailer for further assistance.",n/a
dad40d94-5bfc-476b-a089-33db791e02be,Question,"What battery size does it come in? ",n/a
dad40d94-5bfc-476b-a089-33db791e02be,Answer,"The Volkswagen ID.3 offers different battery sizes, typically including options such as 45 kWh, 58 kWh, and 77 kWh. The specific battery size you may choose can influence the vehicle's range and performance. However, please note that the actual performance can vary based on various factors. For detailed specifications and to find the right option for your needs, I recommend visiting the official Volkswagen website.",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"How do I use VU£",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"How do I use VU3?",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"Pwiehf Ni",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"What electric car has the largest range",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"The Volkswagen ID.7 boasts one of the largest maximum ranges among the ID range, with an official maximum range of up to 600 km on a full charge, according to testing standards. However, please keep in mind that actual range can vary based on multiple factors such as driving conditions, load, and weather. For further details on range for each model, you can visit https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"How much would this ID.7 cost? ",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"I cannot provide specific pricing information for the ID.7. For the most up-to-date pricing and details according to your needs, please visit https://www.volkswagen.co.uk/en/configurator.html.",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"What wheels are available to select with the ID.4",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"The Volkswagen ID.4 offers a variety of wheel options to enhance both its style and performance. Some examples include the optional 19-inch “Wellington” alloy wheels and the 20-inch “Sanya” alloy wheels. For a complete list of available wheels and further specifications, I recommend checking the official Volkswagen website or the configurator.",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"I want a small electric car, what should I look for? ",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"When considering a small electric car, you should focus on several key factors: practicality, range, charging options, and features. Ensure it offers enough space for your needs, a sufficient range for your daily travels, and easy access to charging infrastructure, like home charging or a public charging network. Also, look for advanced features like the ID. Cockpit for enhanced driving experience. Models like the ID.3 are popular choices in the small electric car segment, so exploring those options could be beneficial. If you have more specific needs, feel free to ask!",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"I want a small electric car, what should I look for? ",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"When looking for a small electric car, consider practicality in terms of space and comfort, along with a good range that suits your daily driving needs. Assess the charging options available, including home charging and access to public charging networks. Additionally, features like advanced technology, safety ratings, and overall running costs are important. The Volkswagen ID.3 is a great option in the small electric car segment, offering a combination of efficiency and modern features. If you would like to explore further, please let me know!",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Question,"What battery sizes can I get? ",n/a
c6483989-8fed-4eea-8dd5-d483ae74146e,Answer,"The Volkswagen ID range offers various battery sizes to cater to different driving needs. For instance, the ID.3 is available with options for a 45 kWh, 58 kWh, or 77 kWh battery, and the ID.4 features battery sizes of 52 kWh, 77 kWh, and larger variants depending on the model. Selecting the right battery size depends on your driving habits and how far you typically travel. For more detailed information, you may want to visit the Volkswagen website.",n/a
e63f1726-5fec-4321-ab2a-c10f3d5505a8,Question,"What’s range of id.3",n/a
e63f1726-5fec-4321-ab2a-c10f3d5505a8,Answer,"The official maximum range of the Volkswagen ID.3 is up to 263 miles on a full charge. However, it's important to note that actual range can vary based on factors like load, driving conditions, temperature, and battery size. For more detailed information on range, please visit https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
e63f1726-5fec-4321-ab2a-c10f3d5505a8,Question,"What is the difference between match and gtz",n/a
e63f1726-5fec-4321-ab2a-c10f3d5505a8,Answer,"The Match and GTX trims of the Volkswagen ID.7 Tourer offer different features and characteristics tailored to varying customer preferences. The Match trim focuses on providing a balance of comfort and technology, featuring spacious interiors and practical design. In contrast, the GTX trim is sportier, offering enhanced performance with all-wheel drive and a more dynamic driving experience. For a detailed comparison and to explore specific features of each trim, I recommend visiting https://carcomparator.volkswagen.co.uk/volkswagen/detailed-comparator for up-to-date information.",n/a
2e841dcf-9d05-4dbc-9e4e-19fba0ee1f21,Question,"Can you get an id2 in the uk yet",n/a
2e841dcf-9d05-4dbc-9e4e-19fba0ee1f21,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
9cbd913d-f147-4a69-8067-c0e89cd97d70,Question,"Why do some id cars only have 4 seats",n/a
9cbd913d-f147-4a69-8067-c0e89cd97d70,Answer,"The seating arrangement in certain Volkswagen ID models, such as the ID.4 and ID.5, can vary based on the specific configuration and options chosen by the customer. Some models may offer a four-seat layout for enhanced comfort and spaciousness, particularly in higher-end trims where additional features and luxury elements are included. This design choice allows for more space for passengers in the front and rear seats. If you have a specific model in mind or need more detailed information, please reach out to a Volkswagen retailer for guidance.",n/a
72c64088-4d12-4fb3-b470-8014d9307544,Question,"I",n/a
72c64088-4d12-4fb3-b470-8014d9307544,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
72c64088-4d12-4fb3-b470-8014d9307544,Question,"What is the maximum range on an id7",n/a
72c64088-4d12-4fb3-b470-8014d9307544,Answer,"The maximum electric range for the ID.7 is between 365 and 436 miles, depending on the specific trim. Please note that actual range may vary based on several factors such as driving conditions, battery load, and more. For further details, you can visit https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
82e1062a-ae00-4a37-83ea-7944a9bbdc1d,Question,"Why does an id4 put the brakes on hard while reversing",n/a
82e1062a-ae00-4a37-83ea-7944a9bbdc1d,Answer,"The ID.4 may apply the brakes firmly while reversing due to the Rear Traffic Alert system, which detects obstacles or vehicles crossing your path. If the system senses a potential collision and you do not react in time, it can intervene and apply the brakes to help prevent an accident. This feature is designed to enhance safety while manoeuvring in reverse. If you have further questions or concerns, contacting a Volkswagen support member might be helpful.",n/a
a3888a33-22a3-48e2-adfe-186b263b7c3c,Question,"Can I have real leather seats in an id3",n/a
a3888a33-22a3-48e2-adfe-186b263b7c3c,Answer,"The Volkswagen ID.3 is equipped with high-quality upholstery, but it does not offer real leather seats as standard. Instead, the ID.3 features sustainable materials, which align with Volkswagen's commitment to eco-friendly practices. If you require more detailed information about available seat options, I recommend contacting a local Volkswagen retailer or visiting the official website.",n/a
c0f6bbdc-8959-4a2d-a93d-06a29f58269c,Question,"Does the paint on an id4 have a 12 year warranty as do combustion Volkswagens ",n/a
c0f6bbdc-8959-4a2d-a93d-06a29f58269c,Answer,"Volkswagen offers a three-year paint warranty for the ID.4, consistent with the warranty for other Volkswagen models, including combustion vehicles. However, the specific 12-year corrosion warranty may still apply to the ID.4 for perforation due to corrosion. For the most accurate and detailed information regarding warranties, it's best to consult your local retailer or the Volkswagen website.",n/a
80f43ba7-67dc-4171-a7a5-245c55ff0e26,Question,"Do you have to have a two tone colour on id4s",n/a
80f43ba7-67dc-4171-a7a5-245c55ff0e26,Answer,"No, a two-tone colour scheme is not a requirement for the ID.4. You have the option to choose a single colour if you prefer. The two-tone option can enhance the visual appeal, especially with certain colour combinations, but it is entirely up to your personal preference.",n/a
28826a9c-38b7-4bff-bd4d-a6d73f44bf19,Question,"Can you get a four wheel drive version of the id4 match",n/a
28826a9c-38b7-4bff-bd4d-a6d73f44bf19,Answer,"Yes, the ID.4 is available with an all-wheel drive option, providing enhanced traction and stability. It combines the power of two electric motors, one for the front axle and one for the rear, ensuring an engaging driving experience. For specific details about configurations and availability, I recommend checking with your local Volkswagen retailer or visiting the Volkswagen website for the latest information.",n/a
fe2ea719-a11f-4acc-b0ba-4905d7b52f9f,Question,"What is the range on a id 4 match 77kw",n/a
fe2ea719-a11f-4acc-b0ba-4905d7b52f9f,Answer,"The ID.4 Match with a 77kWh battery has an official maximum range of up to 349 miles on a full charge. However, it's important to note that real-world range can vary depending on factors such as driving style, load, and weather conditions. For more detailed information, you can refer to the official Volkswagen website.",n/a
930d18a5-c97e-4c1a-af29-16088d84bc0f,Question,"What's the miles of range for each of the ID. models?",n/a
930d18a5-c97e-4c1a-af29-16088d84bc0f,Answer,"The official maximum electric range according to WLTP criteria for the Volkswagen ID models are as follows: the ID.3 can achieve up to 436 miles, while the ID.7 can provide up to 400 miles, depending on the specific trim. It's important to note that actual range may vary due to factors such as load, driving conditions, temperature, and battery condition. For more detailed information and model specifications, you can visit the Volkswagen range page at https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
930d18a5-c97e-4c1a-af29-16088d84bc0f,Question,"How big is the id 7 boot",n/a
930d18a5-c97e-4c1a-af29-16088d84bc0f,Answer,"The ID.7 offers a generous boot capacity of approximately 605 litres with the rear seats up. This space can expand further when the seats are folded down, providing ample room for luggage and other cargo. If you require more specific details or dimensions, please let me know!",n/a
930d18a5-c97e-4c1a-af29-16088d84bc0f,Question,"What is the real world range of id7",n/a
930d18a5-c97e-4c1a-af29-16088d84bc0f,Answer,"The real-world range of the ID.7 can vary significantly based on several factors such as driving style, load, weather conditions, and battery age. While the official WLTP maximum range is up to 400 miles, actual performance may differ. For more insights into range and other related topics, I recommend checking the Volkswagen electric range page at https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
fa20c4d5-7147-4880-8708-912ec0fa7fa7,Question,"What’s the price of an id4",n/a
fa20c4d5-7147-4880-8708-912ec0fa7fa7,Answer,"I'm unable to provide specific pricing information. To check the latest prices and configurations for the ID.4, I recommend visiting the Volkswagen configurator at https://www.volkswagen.co.uk/en/configurator.html.",n/a
95a554df-ca51-4256-854f-2c147aa71da4,Question,"Where can I charge a Volkswagen ID.? And how much does it cost?",n/a
95a554df-ca51-4256-854f-2c147aa71da4,Answer,"You can charge your Volkswagen ID. vehicle at a variety of locations, including public charging stations accessible through the We Connect ID. app, which allows you to find available charging stations nearby and plan routes with automatic charging stop recommendations. As for costs, electric vehicles can appear expensive upfront, but they often provide significant savings over time. For detailed and up-to-date information regarding the costs of charging, I recommend visiting https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/charging/running-costs.html.",n/a
29aec49f-e772-4ceb-b68d-f6c39fb507d3,Question,"How long is the range on an iD3 match 58kw",n/a
29aec49f-e772-4ceb-b68d-f6c39fb507d3,Answer,"The ID.3 Match with a 59kWh battery offers an official maximum range of up to 268 miles. However, please note that actual range can vary based on factors such as load, temperature, and driving conditions. For more detailed information on range, you can visit the Volkswagen website: https://www.volkswagen.co.uk/en/electric-and-hybrid/charging-and-range/range.html.",n/a
99901963-23f0-42a0-992c-d7c3113a0af0,Question,"Why do some id’s only have four seats",n/a
99901963-23f0-42a0-992c-d7c3113a0af0,Answer,"Sorry, I do not know the answer to that at this time. If you would like to speak to a VW support member, please reach out to https://www.volkswagen.co.uk/en/need-help/contact-us.html.",n/a
9269b99a-0d1e-4458-9b79-0ff3fb5e2738,Question,"If my id 3 is in an accident and impact is on the sill of the car will it be a problem ",n/a
